condition,photon_count,electronic_sigma,max_line_integral,seed,method,sparse_factor,psnr,ssim,rmse,mae,num_samples,checkpoint
clean,,0.0,5.0,2026,sparse_fbp,12,19.965347957611083,0.5667243152856827,0.09716982744634152,0.05771664224565029,200,
clean,,0.0,5.0,2026,cascade,12,30.79979955673218,0.8413592422008515,0.027824989184737206,0.01762340944260359,200,weights/cascade_original_S12.pth
clean,,0.0,5.0,2026,ddf,12,36.707635974884035,0.9308572447299958,0.014212855333462358,0.010283493576571346,200,weights/DDF_c12_best.pth
poisson_I0_1e05,100000.0,0.0,5.0,2027,sparse_fbp,12,19.870198698043822,0.5295247563719749,0.09815430477261543,0.05918011076748371,200,
poisson_I0_1e05,100000.0,0.0,5.0,2027,cascade,12,30.392437267303468,0.8366840642690658,0.0291450628452003,0.018242489472031595,200,weights/cascade_original_S12.pth
poisson_I0_1e05,100000.0,0.0,5.0,2027,ddf,12,35.37968273162842,0.9206283658742904,0.01651248862966895,0.011483871042728425,200,weights/DDF_c12_best.pth
poisson_I0_1e04,10000.0,0.0,5.0,2028,sparse_fbp,12,19.16222212791443,0.38092463165521623,0.10607826717197895,0.06867209322750568,200,
poisson_I0_1e04,10000.0,0.0,5.0,2028,cascade,12,27.844654779434205,0.7940213841199875,0.03908664107322693,0.022829716186970474,200,weights/cascade_original_S12.pth
poisson_I0_1e04,10000.0,0.0,5.0,2028,ddf,12,30.58703779220581,0.8594643115997315,0.028631904125213624,0.017390967663377523,200,weights/DDF_c12_best.pth
