view,index,pred_psnr,pred_ssim,pred_rmse,fbp_psnr,fbp_ssim,fbp_rmse
180,0,37.14936103054838,0.9285138383290364,0.013884554617106915,17.02788919817473,0.3614882916600655,0.14080093801021576
180,1,36.705030479058955,0.920920450460044,0.01461330708116293,16.5163921387221,0.35432963849786964,0.14934146404266357
180,2,38.64583871363632,0.9512535778627068,0.011687135323882103,16.88167916129599,0.31152914741892423,0.14319109916687012
180,3,39.13451989347699,0.9539482950142705,0.011047754436731339,17.156303790694885,0.3688728701474403,0.1387346088886261
180,4,38.588280368303124,0.9516993286643789,0.011764838360249996,16.837643712878723,0.30016677478261516,0.14391888678073883
180,5,37.47699878298813,0.9322654249633551,0.0133705735206604,15.342918967864808,0.35126931973875003,0.17094407975673676
180,6,37.45016154330263,0.9218398189422774,0.013411950320005417,15.967670610899813,0.3533926470593431,0.15908032655715942
180,7,39.02818559113914,0.9544360674660479,0.01118383463472128,16.994399315337606,0.3180639275465329,0.14134487509727478
180,8,37.64350089288362,0.9370260069773862,0.01311671081930399,15.391086859818387,0.3450502183391795,0.16999870538711548
180,9,38.054563499802235,0.9452768914238685,0.012510417960584164,16.64702989149727,0.3111732836772531,0.1471121460199356
180,10,38.88321431260237,0.9541671442006047,0.011372063308954239,16.819907617508544,0.30336355259954306,0.14421306550502777
180,11,37.23359896184755,0.933449311065445,0.013750550337135792,16.082925359330847,0.3293306977433753,0.1569833904504776
180,12,36.6307766916305,0.9020233822857608,0.01473876740783453,15.030257698565066,0.33989538948647846,0.17720955610275269
180,13,37.795197161143854,0.936445021171402,0.01288962084800005,16.964873987169394,0.341658711687764,0.14182615280151367
180,14,36.63520009884493,0.9230548579310657,0.014731263741850853,15.432170375148893,0.28412849069490703,0.16919653117656708
180,15,36.07541330653842,0.9080910100581878,0.015711922198534012,15.726024725818814,0.32374871914287157,0.1635681390762329
180,16,38.224436822673304,0.9473664058513612,0.0122681250795722,16.68106176898742,0.32329620406715603,0.14653687179088593
180,17,38.442812633387405,0.9484076733256698,0.011963531374931335,16.9684942009547,0.31410185113638117,0.14176703989505768
180,18,36.4478347753959,0.918542150886633,0.015052487142384052,15.953869146765356,0.325674641097365,0.15933328866958618
180,19,36.032768397975005,0.9089499640267239,0.015789253637194633,15.712493987563182,0.31576475421087613,0.16382315754890442
180,20,36.40806893648203,0.919839993945295,0.01512155868113041,16.08275500877925,0.32349437297596845,0.15698647499084473
