sample_index,sparse_factor,method,psnr,ssim,checkpoint
0,2,sparse_fbp,23.696516036987305,0.7706308364868164,
1,2,sparse_fbp,23.596923828125,0.7686662673950195,
2,2,sparse_fbp,25.721900939941406,0.8282253742218018,
3,2,sparse_fbp,24.131271362304688,0.811969518661499,
4,2,sparse_fbp,25.955991744995117,0.8295062184333801,
5,2,sparse_fbp,26.18787384033203,0.8055192232131958,
6,2,sparse_fbp,25.937891006469727,0.7950922250747681,
7,2,sparse_fbp,24.680164337158203,0.8053017258644104,
8,2,sparse_fbp,26.056821823120117,0.8077089786529541,
9,2,sparse_fbp,24.224685668945312,0.8063695430755615,
10,2,sparse_fbp,24.697994232177734,0.8118048906326294,
11,2,sparse_fbp,24.012184143066406,0.7800511121749878,
12,2,sparse_fbp,25.347156524658203,0.7586835622787476,
13,2,sparse_fbp,23.73204231262207,0.7790484428405762,
14,2,sparse_fbp,24.075843811035156,0.7778357863426208,
15,2,sparse_fbp,23.896997451782227,0.7502694725990295,
16,2,sparse_fbp,24.516965866088867,0.8136572241783142,
17,2,sparse_fbp,25.662425994873047,0.8215093612670898,
18,2,sparse_fbp,23.995914459228516,0.7785003781318665,
19,2,sparse_fbp,23.912885665893555,0.7537751197814941,
20,2,sparse_fbp,24.157806396484375,0.7760049700737,
21,2,sparse_fbp,27.43067169189453,0.8120701909065247,
22,2,sparse_fbp,26.045547485351562,0.8028539419174194,
23,2,sparse_fbp,24.013214111328125,0.7791321277618408,
24,2,sparse_fbp,23.704557418823242,0.7697017192840576,
25,2,sparse_fbp,24.27566146850586,0.7828869819641113,
26,2,sparse_fbp,23.520896911621094,0.7782074809074402,
27,2,sparse_fbp,24.210464477539062,0.7766039371490479,
28,2,sparse_fbp,25.7620849609375,0.8030707836151123,
29,2,sparse_fbp,24.121257781982422,0.8053549528121948,
30,2,sparse_fbp,26.469114303588867,0.8370479345321655,
31,2,sparse_fbp,23.861141204833984,0.7844876050949097,
32,2,sparse_fbp,25.892772674560547,0.7980548143386841,
33,2,sparse_fbp,24.345844268798828,0.7830034494400024,
34,2,sparse_fbp,24.85732650756836,0.7921813726425171,
35,2,sparse_fbp,23.922941207885742,0.7539883852005005,
36,2,sparse_fbp,27.142955780029297,0.827189028263092,
37,2,sparse_fbp,25.71472930908203,0.7957851886749268,
38,2,sparse_fbp,23.744308471679688,0.7779508829116821,
39,2,sparse_fbp,24.800010681152344,0.7899870872497559,
40,2,sparse_fbp,25.967945098876953,0.7956932187080383,
41,2,sparse_fbp,24.871150970458984,0.7974358797073364,
42,2,sparse_fbp,25.787050247192383,0.8306071758270264,
43,2,sparse_fbp,26.00745964050293,0.8010015487670898,
44,2,sparse_fbp,25.556896209716797,0.8193936944007874,
45,2,sparse_fbp,24.060590744018555,0.7845017910003662,
46,2,sparse_fbp,23.95053482055664,0.7750372886657715,
47,2,sparse_fbp,25.508853912353516,0.8230925798416138,
48,2,sparse_fbp,27.961177825927734,0.8199752569198608,
49,2,sparse_fbp,23.73190689086914,0.7772243618965149,
50,2,sparse_fbp,25.471004486083984,0.7980991005897522,
51,2,sparse_fbp,26.36275291442871,0.8087655901908875,
52,2,sparse_fbp,24.79966163635254,0.8062483072280884,
53,2,sparse_fbp,24.990619659423828,0.7910586595535278,
54,2,sparse_fbp,24.65660858154297,0.8099729418754578,
55,2,sparse_fbp,24.87893295288086,0.8015984296798706,
56,2,sparse_fbp,23.596017837524414,0.7675853371620178,
57,2,sparse_fbp,23.581069946289062,0.7802034020423889,
58,2,sparse_fbp,23.89936637878418,0.7888182401657104,
59,2,sparse_fbp,23.893409729003906,0.750207781791687,
60,2,sparse_fbp,24.901771545410156,0.7892585396766663,
61,2,sparse_fbp,24.722421646118164,0.804360568523407,
62,2,sparse_fbp,26.627511978149414,0.8475700616836548,
63,2,sparse_fbp,25.044919967651367,0.8048355579376221,
64,2,sparse_fbp,24.830310821533203,0.7922508716583252,
65,2,sparse_fbp,26.847915649414062,0.8237191438674927,
66,2,sparse_fbp,27.872573852539062,0.8163620233535767,
67,2,sparse_fbp,24.510292053222656,0.7887430191040039,
68,2,sparse_fbp,25.63687515258789,0.8042228817939758,
69,2,sparse_fbp,25.602542877197266,0.7971819639205933,
70,2,sparse_fbp,24.05971336364746,0.7906901240348816,
71,2,sparse_fbp,23.724956512451172,0.7811249494552612,
72,2,sparse_fbp,24.063827514648438,0.7773351073265076,
73,2,sparse_fbp,28.10483169555664,0.818089485168457,
74,2,sparse_fbp,24.738929748535156,0.7899090051651001,
75,2,sparse_fbp,23.788145065307617,0.7733001708984375,
76,2,sparse_fbp,27.878753662109375,0.8154265880584717,
77,2,sparse_fbp,23.845382690429688,0.783776044845581,
78,2,sparse_fbp,23.844039916992188,0.7846009135246277,
79,2,sparse_fbp,23.989139556884766,0.7576186656951904,
80,2,sparse_fbp,26.173240661621094,0.8108633756637573,
81,2,sparse_fbp,25.672962188720703,0.8259490132331848,
82,2,sparse_fbp,24.214099884033203,0.8051690459251404,
83,2,sparse_fbp,24.016725540161133,0.7763059139251709,
84,2,sparse_fbp,24.09020233154297,0.80079185962677,
85,2,sparse_fbp,24.099376678466797,0.8022406101226807,
86,2,sparse_fbp,24.102678298950195,0.8013969659805298,
87,2,sparse_fbp,26.274940490722656,0.8008891940116882,
88,2,sparse_fbp,26.11782455444336,0.8099019527435303,
89,2,sparse_fbp,25.510339736938477,0.7983982563018799,
90,2,sparse_fbp,24.198009490966797,0.7632490992546082,
91,2,sparse_fbp,25.249290466308594,0.8105744123458862,
92,2,sparse_fbp,25.623483657836914,0.8251938819885254,
93,2,sparse_fbp,23.862245559692383,0.7609879970550537,
94,2,sparse_fbp,25.960391998291016,0.8052188158035278,
95,2,sparse_fbp,24.48904800415039,0.7662755250930786,
96,2,sparse_fbp,24.012977600097656,0.7848830223083496,
97,2,sparse_fbp,26.062381744384766,0.7941834330558777,
98,2,sparse_fbp,24.095142364501953,0.800768256187439,
99,2,sparse_fbp,23.721515655517578,0.7806665301322937,
100,2,sparse_fbp,24.119646072387695,0.8091017007827759,
101,2,sparse_fbp,23.825645446777344,0.7798423171043396,
102,2,sparse_fbp,23.89459800720215,0.782575249671936,
103,2,sparse_fbp,26.063615798950195,0.8033574223518372,
104,2,sparse_fbp,23.725862503051758,0.7828526496887207,
105,2,sparse_fbp,25.757953643798828,0.8053216934204102,
106,2,sparse_fbp,27.495595932006836,0.8348090052604675,
107,2,sparse_fbp,24.168148040771484,0.8034212589263916,
108,2,sparse_fbp,23.754764556884766,0.7699095606803894,
109,2,sparse_fbp,26.501657485961914,0.8161555528640747,
110,2,sparse_fbp,25.856496810913086,0.7995428442955017,
111,2,sparse_fbp,23.92584800720215,0.7916347980499268,
112,2,sparse_fbp,24.06171989440918,0.7683725357055664,
113,2,sparse_fbp,24.123538970947266,0.8095842003822327,
114,2,sparse_fbp,25.929744720458984,0.8289822340011597,
115,2,sparse_fbp,25.967504501342773,0.7957374453544617,
116,2,sparse_fbp,25.27880096435547,0.7699885368347168,
117,2,sparse_fbp,26.098651885986328,0.7990099191665649,
118,2,sparse_fbp,24.288074493408203,0.8092398047447205,
119,2,sparse_fbp,26.607986450195312,0.7963958978652954,
120,2,sparse_fbp,23.64435577392578,0.7706722617149353,
121,2,sparse_fbp,24.03823471069336,0.7761482000350952,
122,2,sparse_fbp,23.55957794189453,0.7700883746147156,
123,2,sparse_fbp,24.419334411621094,0.7999114990234375,
124,2,sparse_fbp,25.664167404174805,0.820256233215332,
125,2,sparse_fbp,25.24744415283203,0.766367495059967,
126,2,sparse_fbp,26.019163131713867,0.8027576208114624,
127,2,sparse_fbp,24.06887435913086,0.794070839881897,
128,2,sparse_fbp,23.93589210510254,0.7793468832969666,
129,2,sparse_fbp,25.39178466796875,0.8160934448242188,
130,2,sparse_fbp,25.460594177246094,0.7956523895263672,
131,2,sparse_fbp,25.735153198242188,0.8057200908660889,
132,2,sparse_fbp,25.07978057861328,0.812953531742096,
133,2,sparse_fbp,23.714248657226562,0.7906675934791565,
134,2,sparse_fbp,25.119943618774414,0.802241325378418,
135,2,sparse_fbp,24.211746215820312,0.7710809111595154,
136,2,sparse_fbp,24.504850387573242,0.785635232925415,
137,2,sparse_fbp,24.273639678955078,0.7881443500518799,
138,2,sparse_fbp,24.56618309020996,0.7848224639892578,
139,2,sparse_fbp,25.64267921447754,0.8042887449264526,
140,2,sparse_fbp,23.981277465820312,0.7915146350860596,
141,2,sparse_fbp,25.536373138427734,0.8006500005722046,
142,2,sparse_fbp,27.454252243041992,0.8116868138313293,
143,2,sparse_fbp,23.901803970336914,0.7732683420181274,
144,2,sparse_fbp,26.175674438476562,0.8105107545852661,
145,2,sparse_fbp,26.186922073364258,0.8071174621582031,
146,2,sparse_fbp,24.208900451660156,0.7994396090507507,
147,2,sparse_fbp,25.345685958862305,0.8185667395591736,
148,2,sparse_fbp,24.408931732177734,0.8012409806251526,
149,2,sparse_fbp,24.393165588378906,0.8027151226997375,
150,2,sparse_fbp,24.425025939941406,0.7885744571685791,
151,2,sparse_fbp,23.987995147705078,0.7683142423629761,
152,2,sparse_fbp,25.006595611572266,0.7755736112594604,
153,2,sparse_fbp,26.08787727355957,0.8044071197509766,
154,2,sparse_fbp,24.4277400970459,0.7697229385375977,
155,2,sparse_fbp,23.870031356811523,0.7822837829589844,
156,2,sparse_fbp,24.54075050354004,0.7917729616165161,
157,2,sparse_fbp,24.062841415405273,0.7968482971191406,
158,2,sparse_fbp,23.79570770263672,0.767733097076416,
159,2,sparse_fbp,24.186086654663086,0.8027055263519287,
160,2,sparse_fbp,24.453527450561523,0.8018877506256104,
161,2,sparse_fbp,24.234878540039062,0.7780250310897827,
162,2,sparse_fbp,23.803504943847656,0.7831928133964539,
163,2,sparse_fbp,24.803133010864258,0.8181264996528625,
164,2,sparse_fbp,24.009376525878906,0.7893280982971191,
165,2,sparse_fbp,23.623838424682617,0.766665518283844,
166,2,sparse_fbp,23.77326774597168,0.7683064937591553,
167,2,sparse_fbp,25.47216796875,0.7990314960479736,
168,2,sparse_fbp,25.897003173828125,0.7948596477508545,
169,2,sparse_fbp,23.536880493164062,0.769684910774231,
170,2,sparse_fbp,23.685876846313477,0.7749576568603516,
171,2,sparse_fbp,26.527740478515625,0.8166578412055969,
172,2,sparse_fbp,23.94914436340332,0.7810595035552979,
173,2,sparse_fbp,28.169540405273438,0.820808470249176,
174,2,sparse_fbp,23.88115882873535,0.7897536754608154,
175,2,sparse_fbp,24.941415786743164,0.790341854095459,
176,2,sparse_fbp,24.33954429626465,0.7860722541809082,
177,2,sparse_fbp,24.24075698852539,0.7773665189743042,
178,2,sparse_fbp,24.208850860595703,0.8039622902870178,
179,2,sparse_fbp,23.75824737548828,0.7704198956489563,
180,2,sparse_fbp,26.030975341796875,0.8051367998123169,
181,2,sparse_fbp,24.49783706665039,0.7640529870986938,
182,2,sparse_fbp,23.810121536254883,0.7835455536842346,
183,2,sparse_fbp,24.537221908569336,0.7834962010383606,
184,2,sparse_fbp,28.009349822998047,0.819063127040863,
185,2,sparse_fbp,23.80662727355957,0.7807449698448181,
186,2,sparse_fbp,23.779823303222656,0.7778224945068359,
187,2,sparse_fbp,23.817522048950195,0.776159942150116,
188,2,sparse_fbp,23.820907592773438,0.7566616535186768,
189,2,sparse_fbp,23.879959106445312,0.7742406129837036,
190,2,sparse_fbp,24.568828582763672,0.782669186592102,
191,2,sparse_fbp,24.159948348999023,0.7676987648010254,
192,2,sparse_fbp,25.696266174316406,0.8062511682510376,
