"task","sparse_factor","slice_index","psnr","ssim"
"module_no_sine_S2","2","197","29.51043128967285","0.830559492111206"
"module_no_sine_S2","2","198","29.768402099609375","0.8434241414070129"
"module_no_sine_S2","2","199","30.294572830200195","0.8506437540054321"
"module_no_ct_S4","4","0","31.034107208251953","0.8514850735664368"
"module_no_ct_S4","4","1","30.350238800048828","0.8335281610488892"
"module_no_ct_S4","4","2","33.100440979003906","0.8889437317848206"
"module_no_ct_S4","4","3","32.51546859741211","0.8913161158561707"
"module_no_ct_S4","4","4","33.025230407714844","0.8888359665870667"
"module_no_ct_S4","4","5","31.679670333862305","0.8673222064971924"
"module_no_ct_S4","4","6","31.533849716186523","0.8199592232704163"
"module_no_ct_S4","4","7","32.16853332519531","0.8855657577514648"
"module_no_ct_S4","4","8","31.3703556060791","0.866907000541687"
"module_no_ct_S4","4","9","32.52327346801758","0.8875261545181274"
"module_no_ct_S4","4","10","32.044063568115234","0.8846008777618408"
"module_no_ct_S4","4","11","31.038455963134766","0.8474820852279663"
"module_no_ct_S4","4","12","31.30323600769043","0.7908509969711304"
"module_no_ct_S4","4","13","31.633563995361328","0.8708580732345581"
"module_no_ct_S4","4","14","30.33643913269043","0.8282446265220642"
"module_no_ct_S4","4","15","30.32661247253418","0.8129823207855225"
"module_no_ct_S4","4","16","32.54616165161133","0.8881489634513855"
"module_no_ct_S4","4","17","32.93339920043945","0.8818790316581726"
"module_no_ct_S4","4","18","29.980316162109375","0.8227390646934509"
"module_no_ct_S4","4","19","30.309219360351562","0.8178164958953857"
"module_no_ct_S4","4","20","30.688114166259766","0.8307851552963257"
