scheduler,sparse_factor,seed,epoch,train_loss,val_psnr,val_ssim,lr_used,lr_next,best_val_psnr,is_best,epoch_seconds
plateau,12,2026,0,0.05489858705201622,19.29347562789917,0.4795386227965355,0.0001,0.0001,19.29347562789917,1,217.6898651123047
plateau,12,2026,1,0.008709482165848773,20.85354405403137,0.5691426295042038,0.0001,0.0001,20.85354405403137,1,216.44856905937195
plateau,12,2026,2,0.006707881586033195,21.934756326675416,0.6012153714895249,0.0001,0.0001,21.934756326675416,1,216.59878993034363
plateau,12,2026,3,0.005095833588970567,23.17741425514221,0.6396148055791855,0.0001,0.0001,23.17741425514221,1,216.39283752441406
plateau,12,2026,4,0.003999236669419298,23.948329858779907,0.6810603225231171,0.0001,0.0001,23.948329858779907,1,216.44447898864746
plateau,12,2026,5,0.0034725272326908085,24.40358985900879,0.7000729089975357,0.0001,0.0001,24.40358985900879,1,217.2644362449646
plateau,12,2026,6,0.003153007517635041,24.80795157432556,0.7130929291248321,0.0001,0.0001,24.80795157432556,1,216.3004972934723
plateau,12,2026,7,0.0028836294155819026,25.20818772315979,0.7251290196180343,0.0001,0.0001,25.20818772315979,1,216.7696657180786
plateau,12,2026,8,0.002625377397907528,25.61481785774231,0.7348362052440643,0.0001,0.0001,25.61481785774231,1,216.46919870376587
plateau,12,2026,9,0.0023862970787996937,26.022188692092897,0.7452863663434982,0.0001,0.0001,26.022188692092897,1,217.32032322883606
plateau,12,2026,10,0.002164556032695462,26.42411862373352,0.7535905081033707,0.0001,0.0001,26.42411862373352,1,216.52760410308838
plateau,12,2026,11,0.0019793294599952964,26.725016250610352,0.759761483669281,0.0001,0.0001,26.725016250610352,1,217.40155172348022
plateau,12,2026,12,0.0018297019458204955,27.054442901611328,0.7627473378181457,0.0001,0.0001,27.054442901611328,1,216.47548580169678
plateau,12,2026,13,0.001690022126781974,27.267494411468505,0.7713620042800904,0.0001,0.0001,27.267494411468505,1,216.59153151512146
plateau,12,2026,14,0.0015799046558596557,27.346119260787965,0.7803436684608459,0.0001,0.0001,27.346119260787965,1,216.1050615310669
plateau,12,2026,15,0.0014952742004128738,27.692328815460204,0.7864089292287827,0.0001,0.0001,27.692328815460204,1,215.89703559875488
plateau,12,2026,16,0.001418937788360616,27.955420579910278,0.7900027459859849,0.0001,0.0001,27.955420579910278,1,216.44780373573303
plateau,12,2026,17,0.001339125763956276,28.117165575027467,0.7939468228816986,0.0001,0.0001,28.117165575027467,1,216.4488275051117
plateau,12,2026,18,0.001275733818539003,28.195480909347534,0.7984062916040421,0.0001,0.0001,28.195480909347534,1,216.03034019470215
plateau,12,2026,19,0.0012324121756712846,28.298224058151245,0.8017032581567765,0.0001,0.0001,28.298224058151245,1,215.9178364276886
