scheduler,sparse_factor,seed,epoch,train_loss,val_psnr,val_ssim,lr_used,lr_next,best_val_psnr,is_best,epoch_seconds
cosine,12,2026,0,0.05489403897136003,19.31791208267212,0.47970206558704376,0.0001,9.997533048548475e-05,19.31791208267212,1,221.66797733306885
cosine,12,2026,1,0.008694354711581817,20.85299789428711,0.5701919817924499,9.997533048548475e-05,9.990134628777144e-05,20.85299789428711,1,221.29864072799683
cosine,12,2026,2,0.0067089683479151585,21.924601726531982,0.6013928788900376,9.990134628777144e-05,9.9778120420331e-05,21.924601726531982,1,221.5620059967041
cosine,12,2026,3,0.005101885936965936,23.168058853149414,0.6396446239948272,9.9778120420331e-05,9.960577449221734e-05,23.168058853149414,1,221.53851699829102
cosine,12,2026,4,0.004001855298663988,23.934313697814943,0.6807416838407516,9.960577449221734e-05,9.938447858805392e-05,23.934313697814943,1,220.8409857749939
cosine,12,2026,5,0.003474574499896096,24.391311712265015,0.7001101112365723,9.938447858805392e-05,9.911445110018081e-05,24.391311712265015,1,221.18487119674683
cosine,12,2026,6,0.0031603874860170965,24.768857851028443,0.7132317489385605,9.911445110018081e-05,9.87959585131277e-05,24.768857851028443,1,221.34955430030823
cosine,12,2026,7,0.002899066868154437,25.154725980758666,0.7249102813005447,9.87959585131277e-05,9.842931514062592e-05,25.154725980758666,1,219.93218541145325
cosine,12,2026,8,0.0026470850791244973,25.60094298362732,0.736085604429245,9.842931514062592e-05,9.801488281541878e-05,25.60094298362732,1,221.34657526016235
cosine,12,2026,9,0.0024059120433105067,25.97450870513916,0.7446662908792496,9.801488281541878e-05,9.755307053217622e-05,25.97450870513916,1,221.11052799224854
cosine,12,2026,10,0.0021871880786005085,26.38059143066406,0.7523609358072281,9.755307053217622e-05,9.704433404386652e-05,26.38059143066406,1,221.51323533058167
cosine,12,2026,11,0.001996191959498513,26.703946781158447,0.7614936566352845,9.704433404386652e-05,9.648917541198313e-05,26.703946781158447,1,221.4264326095581
cosine,12,2026,12,0.0018451759800548605,27.005716886520386,0.7691704243421554,9.648917541198313e-05,9.588814251107064e-05,27.005716886520386,1,221.28287410736084
cosine,12,2026,13,0.0017058734458518887,27.28742081642151,0.7747031867504119,9.588814251107064e-05,9.524182848803866e-05,27.28742081642151,1,220.7047357559204
cosine,12,2026,14,0.0015925032715400338,27.403527898788454,0.7780473363399506,9.524182848803866e-05,9.455087117679747e-05,27.403527898788454,1,221.1203920841217
cosine,12,2026,15,0.0015039389245805055,27.664157247543336,0.7825624191761017,9.455087117679747e-05,9.381595246879297e-05,27.664157247543336,1,221.31511044502258
cosine,12,2026,16,0.001418910248070774,27.91476752281189,0.7892997580766677,9.381595246879297e-05,9.303779764006218e-05,27.91476752281189,1,221.17437076568604
cosine,12,2026,17,0.001344649658114597,28.048644399642946,0.7943671762943267,9.303779764006218e-05,9.221717463547327e-05,28.048644399642946,1,221.33138489723206
cosine,12,2026,18,0.001284800267565563,28.12941285133362,0.7973979949951172,9.221717463547327e-05,9.135489331085674e-05,28.12941285133362,1,220.86270689964294
cosine,12,2026,19,0.001237601825090174,28.28144818305969,0.7928325802087783,9.135489331085674e-05,9.045180463377552e-05,28.28144818305969,1,220.9640338420868
cosine,12,2026,20,0.001191609631853234,28.402255411148072,0.7959498399496079,9.045180463377552e-05,8.950879984372265e-05,28.402255411148072,1,221.328022480011
cosine,12,2026,21,0.0011417501587952638,28.531924867630003,0.8042701351642608,8.950879984372265e-05,8.85268095725756e-05,28.531924867630003,1,221.27042174339294
cosine,12,2026,22,0.0010955688800429054,28.60283444404602,0.8084081143140793,8.85268095725756e-05,8.750680292617485e-05,28.60283444404602,1,221.54326605796814
cosine,12,2026,23,0.0010622008351568997,28.951640701293947,0.8115978956222534,8.750680292617485e-05,8.644978652793349e-05,28.951640701293947,1,221.4455964565277
cosine,12,2026,24,0.001025540338243159,29.050727281570435,0.8150849133729935,8.644978652793349e-05,8.535680352542147e-05,29.050727281570435,1,220.9443130493164
cosine,12,2026,25,0.0009870506910919404,29.154553785324097,0.8184404706954956,8.535680352542147e-05,8.422893256090482e-05,29.154553785324097,1,221.06171989440918
cosine,12,2026,26,0.0009583828320913365,29.25556374549866,0.8199995619058609,8.422893256090482e-05,8.3067286706856e-05,29.25556374549866,1,221.05454015731812
cosine,12,2026,27,0.0009292626390687089,29.269308671951293,0.822560458779335,8.3067286706856e-05,8.187301236748577e-05,29.269308671951293,1,221.07234573364258
cosine,12,2026,28,0.0008983471864016468,29.503028049468995,0.8257138818502426,8.187301236748577e-05,8.064728814738059e-05,29.503028049468995,1,216.53998136520386
cosine,12,2026,29,0.0008711427432085537,29.444318456649782,0.8278023022413253,8.064728814738059e-05,7.939132368836223e-05,29.503028049468995,0,221.46800565719604
cosine,12,2026,30,0.0008522322436721389,29.632982025146486,0.8297159469127655,7.939132368836223e-05,7.81063584757173e-05,29.632982025146486,1,221.1816201210022
cosine,12,2026,31,0.0008300159661507422,29.742251148223875,0.8313104420900345,7.81063584757173e-05,7.679366061497496e-05,29.742251148223875,1,221.0182011127472
cosine,12,2026,32,0.000807018752413896,29.828794956207275,0.8326021248102188,7.679366061497496e-05,7.545452558043985e-05,29.828794956207275,1,220.99821305274963
cosine,12,2026,33,0.0007915743406467866,29.81827922821045,0.8341491949558258,7.545452558043985e-05,7.409027493671528e-05,29.828794956207275,0,221.28313302993774
cosine,12,2026,34,0.000772534308136242,29.93371503829956,0.836141466498375,7.409027493671528e-05,7.270225503447867e-05,29.93371503829956,1,220.98542284965515
cosine,12,2026,35,0.0007497794615071657,30.12688865661621,0.8385056006908417,7.270225503447867e-05,7.129183568179584e-05,30.12688865661621,1,221.01354312896729
cosine,12,2026,36,0.000728015198846686,30.184971084594725,0.8393905508518219,7.129183568179584e-05,6.986040879228588e-05,30.184971084594725,1,220.94806718826294
cosine,12,2026,37,0.0007099596659691258,30.260988101959228,0.8404441726207733,6.986040879228588e-05,6.840938701147052e-05,30.260988101959228,1,220.96900916099548
cosine,12,2026,38,0.0006941686732535798,30.31591588973999,0.84158685028553,6.840938701147052e-05,6.694020232266339e-05,30.31591588973999,1,221.33983087539673
cosine,12,2026,39,0.0006801184401533493,30.363233728408815,0.8424135631322861,6.694020232266339e-05,6.545430463377554e-05,30.363233728408815,1,221.41229271888733
cosine,12,2026,40,0.0006678175633077332,30.431155605316164,0.8435093915462494,6.545430463377554e-05,6.395316034643131e-05,30.431155605316164,1,221.10148167610168
cosine,12,2026,41,0.0006553195133519251,30.496425676345826,0.8452277660369873,6.395316034643131e-05,6.243825090880694e-05,30.496425676345826,1,220.65338897705078
cosine,12,2026,42,0.0006490963520325218,30.600019521713257,0.8467381769418716,6.243825090880694e-05,6.091107135362019e-05,30.600019521713257,1,216.7722783088684
cosine,12,2026,43,0.0006402307116968927,30.573350715637208,0.846194663643837,6.091107135362019e-05,5.937312882271335e-05,30.600019521713257,0,220.8447380065918
cosine,12,2026,44,0.0006250851528308344,30.493046045303345,0.8463154155015945,5.937312882271335e-05,5.782594107968638e-05,30.600019521713257,0,221.15797996520996
cosine,12,2026,45,0.0006117269869092398,30.703402156829835,0.8479570758342743,5.782594107968638e-05,5.627103501204744e-05,30.703402156829835,1,220.85922527313232
cosine,12,2026,46,0.0006003435802504713,30.75075059890747,0.8492042571306229,5.627103501204744e-05,5.4709945124359154e-05,30.75075059890747,1,221.245991230011
cosine,12,2026,47,0.0005895886352209005,30.80213872909546,0.8504191595315933,5.4709945124359154e-05,5.314421202386806e-05,30.80213872909546,1,221.19247031211853
cosine,12,2026,48,0.0005798008641069372,30.900531005859374,0.8519424080848694,5.314421202386806e-05,5.1575380900111053e-05,30.900531005859374,1,220.69295120239258
cosine,12,2026,49,0.0005698687293281611,30.974398317337037,0.8523945438861847,5.1575380900111053e-05,5.000500000000003e-05,30.974398317337037,1,221.3128547668457
cosine,12,2026,50,0.0005606771730717571,31.015522241592407,0.8530239272117615,5.000500000000003e-05,4.8434619099889e-05,31.015522241592407,1,221.00038123130798
cosine,12,2026,51,0.0005515429605176143,31.033516702651976,0.8537083274126053,4.8434619099889e-05,4.6865787976132e-05,31.033516702651976,1,220.95138931274414
cosine,12,2026,52,0.0005430451406589761,31.063126659393312,0.8543936485052108,4.6865787976132e-05,4.53000548756409e-05,31.063126659393312,1,221.31482458114624
cosine,12,2026,53,0.0005353000491363963,31.06456548690796,0.855018789768219,4.53000548756409e-05,4.373896498795264e-05,31.06456548690796,1,221.5478813648224
cosine,12,2026,54,0.0005302716143366494,31.112582874298095,0.8549334776401519,4.373896498795264e-05,4.218405892031368e-05,31.112582874298095,1,221.13985538482666
cosine,12,2026,55,0.000527707031722641,31.22749068260193,0.8561319917440414,4.218405892031368e-05,4.063687117728672e-05,31.22749068260193,1,220.74223852157593
cosine,12,2026,56,0.000520691346121631,31.275497035980223,0.8578870052099228,4.063687117728672e-05,3.909892864637989e-05,31.275497035980223,1,221.33352875709534
cosine,12,2026,57,0.0005107323709074826,31.309732646942138,0.8587726384401322,3.909892864637989e-05,3.7571749091193104e-05,31.309732646942138,1,221.40882229804993
cosine,12,2026,58,0.0005027889268065555,31.314408941268923,0.8591483724117279,3.7571749091193104e-05,3.605683965356876e-05,31.314408941268923,1,221.23404836654663
