view,index,pred_psnr,pred_ssim,pred_rmse,fbp_psnr,fbp_ssim,fbp_rmse
90,0,28.23450853622195,0.7657782033251505,0.03875025734305382,15.678216137472461,0.25518306027976906,0.16447094082832336
90,1,28.30419747165573,0.7677619826498823,0.03844059631228447,15.343300362850842,0.2509513715809483,0.17093656957149506
90,2,29.61637285914083,0.8147093521937184,0.03305075317621231,15.818332709658925,0.20956564647397563,0.1618390530347824
90,3,29.512792402223297,0.8099120888591027,0.03344724699854851,15.978701277166818,0.263673958895116,0.15887843072414398
90,4,29.68438819143367,0.8131414049642549,0.03279295563697815,15.757901945660615,0.20208774361358417,0.1629689633846283
90,5,28.509959672029126,0.7100326949480316,0.03754067048430443,14.712246216217878,0.23424939827400795,0.18381786346435547
90,6,29.6989486021658,0.78667091763015,0.03273802995681763,15.30009046367038,0.23809219967393092,0.1717890352010727
90,7,29.11554888883765,0.8038730940163916,0.03501245379447937,15.83415715123869,0.23095177330539912,0.16154448688030243
90,8,28.315578926314423,0.7091249558338082,0.038390256464481354,14.707613243373213,0.2323893374111881,0.18391592800617218
90,9,28.62631949613208,0.7803099049885921,0.037041112780570984,15.458138124701676,0.21660813823935457,0.1686914563179016
90,10,28.922438114571243,0.8054285436069183,0.03579959273338318,15.698698147218765,0.21748351509148592,0.1640835702419281
90,11,28.7427314839126,0.7917813212483404,0.036547981202602386,15.163424940105356,0.23084353155273682,0.17451338469982147
90,12,29.225233206388456,0.7894465796271104,0.03457310423254967,14.49162167206018,0.2256237489232863,0.18854670226573944
90,13,28.46220761417515,0.7733955910313859,0.03774762153625488,15.65013814146797,0.24594424701879056,0.1650034785270691
90,14,28.054252490110485,0.7587278159539048,0.039562832564115524,14.616364920434384,0.20128775880246805,0.18585819005966187
90,15,27.712158903914496,0.741694291278036,0.04115210473537445,14.819178248893444,0.22570169301297224,0.18156872689723969
90,16,28.779179696128757,0.7800632321319388,0.036394938826560974,15.565635263898862,0.21943307129036524,0.16661658883094788
90,17,29.521679967592256,0.8080808559970334,0.03341303765773773,15.842953482868506,0.21174763839454439,0.16138096153736115
90,18,28.009274783466704,0.7327414689061748,0.03976823017001152,15.165081098441204,0.22543124035427536,0.1744801104068756
90,19,27.735947218714337,0.7443820653558553,0.04103955253958702,14.808715323001607,0.22171201233156693,0.18178759515285492
90,20,28.226833395834,0.7390885549999989,0.038784511387348175,15.215131562753811,0.22453851564579438,0.17347761988639832
90,21,29.403789122625064,0.721934938468011,0.03386963903903961,14.393322664404387,0.2141550922032604,0.19069260358810425
90,22,28.263035217927843,0.7054950627144462,0.03862319886684418,14.748133163476574,0.23165639178329286,0.1830599457025528
90,23,28.567564094723778,0.7750795489610349,0.03729252889752388,15.04229780128135,0.21110980187288753,0.17696407437324524
90,24,28.330670134155255,0.7687433890016625,0.03832361474633217,15.646815670625756,0.25457816814753376,0.16506659984588623
90,25,28.126413908531582,0.7613748255499249,0.03923550993204117,14.605573067845485,0.20322122037695955,0.18608929216861725
90,26,28.189820238236706,0.7627262553281744,0.03895013406872749,15.515125439482954,0.23352060563960092,0.16758832335472107
90,27,28.256987455852606,0.7677614401650786,0.03865010291337967,14.685073177164323,0.22096230114560422,0.18439380824565887
90,28,28.624669407306662,0.6966976147772136,0.03704814985394478,15.145977243185216,0.22659286134716414,0.17486430704593658
90,29,29.02520443349783,0.8054324085707723,0.03537852689623833,15.446415176683583,0.2656968788106003,0.16891929507255554
90,30,29.961664173937667,0.8215973886336612,0.031762655824422836,15.707591242732978,0.19808403815292738,0.16391566395759583
90,31,28.412584793526175,0.7692207408226008,0.03796389326453209,15.236688702804386,0.21885912344123357,0.17304760217666626
90,32,29.551598661265217,0.7818958603281626,0.03329814597964287,15.32269258653114,0.2476165331932626,0.1713426262140274
90,33,28.185241864672463,0.7638452838602574,0.03897067531943321,14.610673553480071,0.19725557298635427,0.18598003685474396
90,34,28.995876424453296,0.7869563896249666,0.03549818694591522,16.00094577129195,0.2283318941019256,0.15847206115722656
90,35,27.948934295008748,0.747106503500794,0.04004545882344246,14.90580218494053,0.2336580707548818,0.1797669678926468
90,36,28.93617011912539,0.7130864564530955,0.03574304282665253,15.041125292873073,0.19976217489595752,0.17698796093463898
90,37,28.415796506966956,0.6887861090382775,0.03794986009597778,15.052888244347006,0.2037732840267322,0.17674843966960907
90,38,28.515217803477935,0.7762079517151733,0.03751795366406441,15.657936615208987,0.24813815939316272,0.16485539078712463
90,39,28.837174020508826,0.7867724434119154,0.03615274280309677,16.038697551195646,0.2408127350525405,0.15778478980064392
90,40,29.714122705759035,0.7864744999865946,0.03268088772892952,15.293582317374616,0.2411847469980345,0.17191781103610992
90,41,28.88284283976892,0.7907333200132963,0.035963162779808044,16.107583509882804,0.24354271851880982,0.15653838217258453
90,42,29.106323448716918,0.8028077033301627,0.03504965826869011,14.667166033963667,0.18366416730613236,0.18477435410022736
90,43,27.84833192515042,0.6961045970180693,0.040511976927518845,14.79848357743019,0.2333940749994582,0.18200185894966125
90,44,29.423062557308945,0.8027237319024668,0.03379456326365471,15.857040847264663,0.21362155772665228,0.16111944615840912
90,45,28.594795902301804,0.7766845373881452,0.03717578575015068,15.733175423812993,0.23186504094240704,0.16343356668949127
90,46,28.532964965773694,0.7738371284242381,0.037441372871398926,15.076697203244105,0.21398483604426854,0.17626462876796722
90,47,28.947376782971265,0.7957822219717434,0.035696953535079956,14.64639601007686,0.18364220152343938,0.1852167248725891
90,48,29.998937757172023,0.7268148396299,0.03162664175033569,14.481588779459218,0.21428557684723598,0.18876460194587708
90,49,28.10327405698822,0.763970432057552,0.039340175688266754,15.087963153828074,0.21132396723138674,0.17603613436222076
90,50,28.33425224263339,0.6867854861239542,0.03830781579017639,15.046840643033732,0.21980038600770915,0.17687153816223145
90,51,29.349573296363374,0.7180263652716667,0.03408170863986015,14.610461241734127,0.22233413073177144,0.18598458170890808
90,52,28.928219602380988,0.7999459392028649,0.03577577322721481,16.206049680591512,0.24467057717933693,0.15477381646633148
90,53,29.350860653863812,0.8050359522815759,0.03407665714621544,14.937895170032913,0.25700377686235437,0.17910398542881012
90,54,28.93061928428594,0.8019091733825315,0.035765890032052994,15.699084801855633,0.21767076087292306,0.16407626867294312
90,55,28.70498795483047,0.7795495442143564,0.03670714423060417,14.607675585887616,0.19467466926027616,0.18604423105716705
90,56,28.40652141737489,0.778531408684738,0.03799040615558624,15.231699606242103,0.24161590759188845,0.1731470227241516
90,57,28.261783722690094,0.7664718525167068,0.03862876445055008,15.523871236279131,0.23456633626152337,0.1674196571111679
90,58,28.84801566845362,0.7905121330066491,0.03610764816403389,15.955929931903345,0.25187033012230325,0.15929551422595978
90,59,27.859133595338964,0.7413364178317481,0.04046162590384483,14.854987056989994,0.23451695483474724,0.1808217614889145
90,60,29.20199451549032,0.795480024911812,0.03466572239995003,16.0519858279992,0.23562169172407207,0.1575435847043991
90,61,28.79301447982026,0.7950209361048232,0.03633702173829079,16.17026758003377,0.2412980547147662,0.1554127335548401
90,62,29.951240285810012,0.829227026512795,0.03180079534649849,15.707657422592883,0.19894740483640766,0.16391439735889435
90,63,28.586172678351573,0.751144140420403,0.03721271827816963,15.527368773261925,0.19838252707319043,0.16735225915908813
90,64,29.04045576729741,0.7885953709365042,0.03531646355986595,16.0132287146106,0.22678938454195322,0.15824812650680542
90,65,28.921991448343547,0.7161959130136145,0.03580143675208092,14.912374694701613,0.1997286193662992,0.17963099479675293
90,66,29.846300550747515,0.7214718303763372,0.0321873314678669,14.46606867977871,0.2115494683678897,0.1891022026538849
90,67,28.6797192531664,0.7887297381725552,0.03681408613920212,14.665104792591341,0.22949627436409167,0.18481820821762085
90,68,28.632366639835602,0.6937397917637799,0.03701533377170563,15.07405656171554,0.22625804388433612,0.1763182133436203
90,69,28.222765084195196,0.6837612970483861,0.03880268335342407,15.108115001668171,0.20373386887388217,0.175628200173378
90,70,28.797996450143344,0.7917503057738755,0.03631618246436119,15.775628601888215,0.23109624424926628,0.16263671219348907
90,71,28.280887711344718,0.7675458770316836,0.03854389861226082,15.53400818691175,0.23632752130142348,0.16722439229488373
90,72,28.066774170392982,0.7362209147605668,0.03950583562254906,15.0969022750789,0.22300032831158856,0.17585507035255432
90,73,30.292402860910343,0.7282767668045131,0.030575944110751152,14.49196175526021,0.21227992018065325,0.1885393112897873
90,74,28.64092995477421,0.7823453901693781,0.03697885572910309,16.027209300850387,0.2386690226287056,0.1579936146736145
90,75,28.504714215945658,0.7778672595727915,0.037563346326351166,15.26321509434705,0.23450491684885882,0.17251992225646973
90,76,29.888528108501337,0.7226222811540877,0.03203123062849045,14.459086750166637,0.21336420226239927,0.1892542541027069
90,77,28.74141819794211,0.7838138030920374,0.036553509533405304,15.802619387577025,0.2512656235554728,0.16213209927082062
90,78,28.59484868597441,0.7771176823762632,0.03717556595802307,15.73264486465845,0.23243923872712907,0.16344355046749115
90,79,27.973084615160783,0.7500335953260304,0.039934273809194565,14.894045565544863,0.2339767707540083,0.18001043796539307
90,80,28.12589031477159,0.7005014944770371,0.03923787549138069,14.807929818928997,0.22545847447676498,0.18180403113365173
90,81,28.933793745248096,0.7949020933118778,0.03575282171368599,14.663638107276569,0.18334358287511635,0.18484942615032196
90,82,29.17747291368184,0.8051345878193832,0.03476373106241226,15.97084739470769,0.26139414398748134,0.15902215242385864
90,83,28.008386089804233,0.7374897977752198,0.03977229818701744,15.14840409333168,0.22080160185101794,0.17481543123722076
90,84,28.43509164960924,0.7710091842359224,0.03786564990878105,15.510764398126973,0.21669928162808777,0.16767248511314392
