sparse_factor,metric,comparison,n_pairs,ddf_mean,comparator_mean,mean_paired_difference,ci95_low,ci95_high,wilcoxon_statistic,p_raw,rank_biserial,ddf_better_count,tie_count,ddf_worse_count,p_holm,significant_0_05
2,psnr,DDF vs sparse_fbp,200,39.298657264709476,24.847546825408937,14.451110439300537,14.232306927204132,14.654251497983932,0.0,1.4361464127613523e-34,1.0,200,0,0,4.308439238284057e-34,True
2,psnr,DDF vs redcnn,200,39.298657264709476,24.9465851688385,14.352072095870971,14.140965944766998,14.55929524564743,0.0,1.4361464127613523e-34,1.0,200,0,0,4.308439238284057e-34,True
2,psnr,DDF vs cascade,200,39.298657264709476,33.507724924087526,5.790932340621948,5.6421968526840205,5.933459647893906,0.0,1.4361464127613523e-34,1.0,200,0,0,4.308439238284057e-34,True
2,ssim,DDF vs sparse_fbp,200,0.9542170032858849,0.7929802277684211,0.16123677551746368,0.15849915269017217,0.1638105862364173,0.0,1.4361464127613523e-34,1.0,200,0,0,4.308439238284057e-34,True
2,ssim,DDF vs redcnn,200,0.9542170032858849,0.7981119495630264,0.15610505372285843,0.15340233408659695,0.15881136777251958,0.0,1.4361464127613523e-34,1.0,200,0,0,4.308439238284057e-34,True
2,ssim,DDF vs cascade,200,0.9542170032858849,0.8927071082592011,0.06150989502668381,0.059024739094078536,0.06412894669175148,0.0,1.4361464127613523e-34,1.0,200,0,0,4.308439238284057e-34,True
4,psnr,DDF vs sparse_fbp,200,37.2502104473114,23.369016656875612,13.881193790435791,13.636258858203888,14.12622737789154,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
4,psnr,DDF vs redcnn,200,37.2502104473114,23.497875080108642,13.75233536720276,13.50770572423935,13.989558168888092,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
4,psnr,DDF vs dudotrans,200,37.2502104473114,28.721411696781875,8.528798750529527,8.31253466813225,8.747343087371034,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
4,psnr,DDF vs cascade,200,37.2502104473114,33.098022651672366,4.152187795639038,4.008588023185729,4.295407232284545,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
4,ssim,DDF vs sparse_fbp,200,0.9338298854231835,0.7167754605412483,0.21705442488193513,0.21319766862690448,0.2207380940914154,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
4,ssim,DDF vs redcnn,200,0.9338298854231835,0.7280233258008957,0.20580655962228775,0.20233152440190313,0.20906481409817934,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
4,ssim,DDF vs dudotrans,200,0.9338298854231835,0.7635330858503532,0.17029679957283034,0.16428814954103402,0.17667206261435556,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
4,ssim,DDF vs cascade,200,0.9338298854231835,0.8819894716143608,0.05184041380882263,0.05024802076071501,0.05341974530369043,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
8,psnr,DDF vs sparse_fbp,200,37.444280853271486,21.35612639427185,16.088154458999632,15.837626262903214,16.333207005023954,0.0,1.4361464127613523e-34,1.0,200,0,0,4.308439238284057e-34,True
8,psnr,DDF vs redcnn,200,37.444280853271486,21.41310311317444,16.031177740097046,15.78122515130043,16.27342650461197,0.0,1.4361464127613523e-34,1.0,200,0,0,4.308439238284057e-34,True
8,psnr,DDF vs cascade,200,37.444280853271486,31.482729091644288,5.961551761627197,5.804367340803147,6.113777149915696,0.0,1.4361464127613523e-34,1.0,200,0,0,4.308439238284057e-34,True
8,ssim,DDF vs sparse_fbp,200,0.9383433213829995,0.6191300600767136,0.31921326130628586,0.31422382704168556,0.32402591237425804,0.0,1.4361464127613523e-34,1.0,200,0,0,4.308439238284057e-34,True
8,ssim,DDF vs redcnn,200,0.9383433213829995,0.6278654110431671,0.3104779103398323,0.3058363266512752,0.3149934766218066,0.0,1.4361464127613523e-34,1.0,200,0,0,4.308439238284057e-34,True
8,ssim,DDF vs cascade,200,0.9383433213829995,0.8544894900918006,0.08385383129119874,0.08187242392450571,0.08584464321285486,0.0,1.4361464127613523e-34,1.0,200,0,0,4.308439238284057e-34,True
12,psnr,DDF vs sparse_fbp,200,36.707616786956784,19.965347909927367,16.742268877029417,16.516458153247832,16.95708988451958,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
12,psnr,DDF vs redcnn,200,36.707616786956784,19.998158903121947,16.70945788383484,16.482799703598022,16.926123022794723,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
12,psnr,DDF vs dudotrans,200,36.707616786956784,22.730804393370164,13.976812393586624,13.778817713856709,14.166502778208319,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
12,psnr,DDF vs cascade,200,36.707616786956784,30.799813375473022,5.907803411483765,5.764637352705002,6.0478300015926365,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
12,ssim,DDF vs sparse_fbp,200,0.9308573302626609,0.5667243248224259,0.36413300544023514,0.35887365869432686,0.36915807247906923,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
12,ssim,DDF vs redcnn,200,0.9308573302626609,0.5739480382204056,0.3569092920422554,0.35195676800608633,0.36173656035214663,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
12,ssim,DDF vs dudotrans,200,0.9308573302626609,0.6749776091582547,0.2558797211044064,0.24794262374089068,0.2640336685059339,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
12,ssim,DDF vs cascade,200,0.9308573302626609,0.8413592359423637,0.08949809432029725,0.08761053637415171,0.09132919423282146,0.0,1.4361464127613523e-34,1.0,200,0,0,5.744585651045409e-34,True
