view,index,pred_psnr,pred_ssim,pred_rmse,pred_mae,fbp_psnr,fbp_ssim,fbp_rmse,fbp_mae
30,0,22.308266389884363,0.6765774615398514,0.07666315138339996,0.047480665147304535,12.36616253185802,0.14459275271683303,0.24081963300704956,0.17962834239006042
30,1,21.91768568097678,0.6678349906573773,0.08018916845321655,0.05039113759994507,12.271627408471275,0.14063572464805033,0.2434549629688263,0.1828244924545288
30,2,23.90748030635734,0.7570919860473166,0.06377140432596207,0.03876935690641403,12.70021765365042,0.11070102117339421,0.23173364996910095,0.17608076333999634
30,3,22.235885507395643,0.683872937984693,0.0773046687245369,0.04922981932759285,12.438851027514124,0.14784885423466487,0.23881271481513977,0.17462095618247986
30,4,24.1624493812808,0.7669627392358875,0.06192664057016373,0.0378882959485054,12.622911520760479,0.10425125119674655,0.2338053286075592,0.17713941633701324
30,5,22.912360354311588,0.5942080140020644,0.07151250541210175,0.052666351199150085,12.391526476206497,0.11275164992657793,0.2401174157857895,0.18675178289413452
30,6,23.602136908275252,0.6891943049694096,0.06605309247970581,0.045427609235048294,12.954096966216577,0.1180188043072988,0.22505836188793182,0.17193523049354553
30,7,22.55926458190607,0.7112673833963823,0.07447949796915054,0.046758733689785004,12.576286611586555,0.12759770603895612,0.23506374657154083,0.17377977073192596
30,8,22.7896099106794,0.5927349042420422,0.07253030687570572,0.053811024874448776,12.34280361431082,0.11753878782827701,0.24146810173988342,0.187020406126976
30,9,22.230337101728605,0.6873920249469249,0.0773540660738945,0.04846356809139252,12.234312079996998,0.12011388818158827,0.24450312554836273,0.1814579963684082
30,10,22.448205936855672,0.713399891914168,0.07543791830539703,0.04719102755188942,12.450212291382822,0.12121109384601808,0.23850055038928986,0.1764535754919052
30,11,22.744388389282854,0.7115846453368788,0.0729089081287384,0.0449361689388752,12.34045135713031,0.12705584768530057,0.2415335327386856,0.18729698657989502
30,12,23.36551496058872,0.7325639192104842,0.06787725538015366,0.04158805310726166,12.435177668304576,0.10912952473514244,0.23891374468803406,0.19209177792072296
30,13,22.01912869018843,0.6840235181754956,0.07925808429718018,0.049074120819568634,12.202179262995276,0.1398603430761428,0.2454093098640442,0.1815626621246338
30,14,22.46431956637479,0.6915558821236685,0.07529809325933456,0.04785897955298424,11.860168714429356,0.11027839067504602,0.25526517629623413,0.19918861985206604
30,15,22.292583114283797,0.672199782668981,0.07680170238018036,0.048288751393556595,11.898172194837604,0.12010715729850849,0.25415074825286865,0.19744651019573212
30,16,22.35489423338589,0.6723548283703463,0.07625271379947662,0.04940591752529144,12.425163509316251,0.12386984061658766,0.23918935656547546,0.1769094318151474
30,17,23.95644430223672,0.7591389550818225,0.06341292709112167,0.038231007754802704,12.665531800398975,0.11276176362829081,0.23266088962554932,0.17717501521110535
30,18,22.06466226117351,0.637768685654238,0.07884368300437927,0.05230569466948509,12.140848333728904,0.12515619804154254,0.2471482902765274,0.1871454119682312
30,19,22.248202207231454,0.6659083627343936,0.07719512283802032,0.049172304570674896,11.845562085466732,0.11887521850388703,0.25569480657577515,0.197920024394989
30,20,22.363588281662224,0.6383073976233774,0.07617642730474472,0.0505804717540741,12.291183412116286,0.12500007887433814,0.24290744960308075,0.18309788405895233
30,21,23.754857076614144,0.6273032347335062,0.06490186601877213,0.048125747591257095,12.687130541387058,0.0973490543198672,0.23208308219909668,0.18330241739749908
30,22,22.79024716869586,0.5898166428872512,0.07252498716115952,0.05417975038290024,12.407397102129057,0.1199427696156718,0.23967908322811127,0.18550698459148407
30,23,22.453358844067314,0.7005114745723866,0.0753931775689125,0.046921372413635254,12.142774966687604,0.11811370010354424,0.24709345400333405,0.18902340531349182
30,24,22.351209136176827,0.6806031810366817,0.07628507167100906,0.04676058888435364,12.32383760121735,0.14410612885626797,0.24199596047401428,0.18085657060146332
30,25,22.61911788822083,0.7011893649980313,0.07396804541349411,0.046392135322093964,11.907629881475119,0.11133788720115433,0.25387415289878845,0.19943442940711975
30,26,21.65640542130431,0.6620955322396554,0.0826379805803299,0.05172434821724892,12.173665540969239,0.13396142868071284,0.24621625244617462,0.182006374001503
30,27,22.172366304860056,0.6928159316557324,0.07787206768989563,0.04929313808679581,12.020514070196683,0.12218583191371855,0.2505961060523987,0.19779254496097565
30,28,22.97733892851076,0.5954896260002318,0.0709795206785202,0.053820692002773285,12.490888603280785,0.1262405650058633,0.23738625645637512,0.18138989806175232
30,29,22.682706245026353,0.7041353368427427,0.07342850416898727,0.0460839718580246,12.478189687686143,0.14129241134031872,0.23773357272148132,0.17957600951194763
30,30,24.55218143070755,0.7826501224169414,0.0592094361782074,0.03632644936442375,12.696272134315997,0.09728424524317289,0.23183894157409668,0.17616911232471466
30,31,22.015174290077834,0.6747554222366895,0.07929418236017227,0.04959360882639885,12.068120786033663,0.12243328358309766,0.24922634661197662,0.1862736940383911
30,32,23.227511942506883,0.6878881547685812,0.06896430999040604,0.04637717083096504,12.77942020646098,0.1226939746911308,0.22963018715381622,0.1750486046075821
30,33,22.456617435778597,0.6997633161507137,0.07536490261554718,0.04739457368850708,11.92147253997655,0.10907827745041294,0.25346988439559937,0.19869542121887207
30,34,23.0759323981737,0.725617012403505,0.07017838209867477,0.041438717395067215,12.554686385772984,0.1236855958961262,0.23564904928207397,0.1785043329000473
30,35,22.451873234662095,0.6804752726491761,0.07540606707334518,0.04727288708090782,12.101573365028276,0.1275544166621389,0.24826833605766296,0.19372257590293884
30,36,23.621908885488057,0.6209431932571975,0.06590289622545242,0.04834728688001633,12.680594523040385,0.09819837632231458,0.23225776851177216,0.17781035602092743
30,37,22.66563072602679,0.5871998257463614,0.07357299327850342,0.0534818060696125,12.257834287099406,0.11440193183756724,0.24384185671806335,0.1859755665063858
30,38,22.116962790244937,0.6891654495093754,0.0783703625202179,0.04827799275517464,12.280280178140474,0.1407296632730856,0.24321255087852478,0.18097417056560516
30,39,23.175778046582938,0.7293799492371411,0.06937628984451294,0.040774378925561905,12.677221679222177,0.13255071519742692,0.2323480099439621,0.177806556224823
